country_short;website;fax_stg;group;name;twitter;url;country;image;email;group_short;facebook;party;id;fax_bxl;score
fr;http://www.sylvie-goulard.eu;33388179450;Group of the Alliance of Liberals and Democrats for Europe;Sylvie GOULARD;GoulardSylvie;http://www.europarl.europa.eu/meps/en/97137/SYLVIE_GOULARD_home.html;France;http://www.europarl.europa.eu/mepphoto/97137.jpg;sylvie.goulard@europarl.europa.eu;aldeadle;http://www.facebook.com/profile.php?id=100002401901978;Mouvement Démocrate;97137;3222849450;0.3
gb;http://www.jeanlambertmep.org.uk;33388179507;Group of the Greens/European Free Alliance;Jean LAMBERT;GreenJeanMEP;http://www.europarl.europa.eu/meps/en/4531/JEAN_LAMBERT_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/4531.jpg;jean.lambert@europarl.europa.eu;greensefa;http://www.facebook.com/pages/Jean-Lambert-MEP/5869598305;Green Party;4531;3222849507;0.1
gb;http://www.keithtaylormep.org.uk/;33388179153;Group of the Greens/European Free Alliance;Keith TAYLOR;GreenKeithMEP;http://www.europarl.europa.eu/meps/en/102931/KEITH_TAYLOR_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/102931.jpg;keith.taylor@europarl.europa.eu;greensefa;;Green Party;102931;3222849153;0.1
de;http://www.matthias-groote.eu;33388179431;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Matthias GROOTE;Groote;http://www.europarl.europa.eu/meps/en/34728/MATTHIAS_GROOTE_home.html;Germany;http://www.europarl.europa.eu/mepphoto/34728.jpg;matthias.groote@europarl.europa.eu;sd;https://www.facebook.com/pages/Matthias-Groote/62299248104;Sozialdemokratische Partei Deutschlands;34728;3222849431;0.3
fr;http://www.francoise-grossetete.eu/;33388179952;Group of the European People's Party (Christian Democrats);Françoise GROSSETÊTE;GrosseteteF;http://www.europarl.europa.eu/meps/en/2025/FRANCOISE_GROSSETETE_home.html;France;http://www.europarl.europa.eu/mepphoto/2025.jpg;francoise.grossetete@europarl.europa.eu;epp;https://www.facebook.com/fgrossetete;Union pour un Mouvement Populaire;2025;3222849952;0.8
pl;http://andrzejgrzyb.eu/;33388179185;Group of the European People's Party (Christian Democrats);Andrzej GRZYB;GrzybAndrzej;http://www.europarl.europa.eu/meps/en/23785/ANDRZEJ_GRZYB_home.html;Poland;http://www.europarl.europa.eu/mepphoto/23785.jpg;andrzej.grzyb@europarl.europa.eu;epp;https://www.facebook.com/pages/Andrzej-Grzyb-Pose%C5%82-do-Parlamentu-Europejskiego/235676093175456;Polskie Stronnictwo Ludowe;23785;3222849185;0.8
it;;33388179523;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Roberto GUALTIERI;gualtierieurope;http://www.europarl.europa.eu/meps/en/96892/ROBERTO_GUALTIERI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/96892.jpg;roberto.gualtieri@europarl.europa.eu;sd;https://www.facebook.com/profile.php?id=1718182132;Partito Democratico;96892;3222849523;0.3
be;;33388179566;Group of the Alliance of Liberals and Democrats for Europe;Guy VERHOFSTADT;GuyVerhofstadt;http://www.europarl.europa.eu/meps/en/97058/GUY_VERHOFSTADT_home.html;Belgium;http://www.europarl.europa.eu/mepphoto/97058.jpg;guy.verhofstadt@europarl.europa.eu;aldeadle;http://www.facebook.com/fanpageguyverhofstadt;Open Vlaamse Liberalen en Democraten;97058;3222849566;0.3
fi;;33388179121;European Conservatives and Reformists Group;Jussi HALLA-AHO;Halla_aho;http://www.europarl.europa.eu/meps/en/124727/JUSSI_HALLA-AHO_home.html;Finland;http://www.europarl.europa.eu/mepphoto/124727.jpg;jussi.halla-aho@europarl.europa.eu;ecr;;Perussuomalaiset;124727;3222849121;0.1
nl;http://www.hansvanbaalen.eu;33388179615;Group of the Alliance of Liberals and Democrats for Europe;Johannes Cornelis van BAALEN;hans_van_baalen;http://www.europarl.europa.eu/meps/en/96937/JOHANNES+CORNELIS_VAN+BAALEN_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/96937.jpg;hans.vanbaalen@europarl.europa.eu;aldeadle;;Volkspartij voor Vrijheid en Democratie;96937;3222849615;0.3
de;;33388179132;European Conservatives and Reformists Group;Hans-Olaf HENKEL;HansOlafHenkel;http://www.europarl.europa.eu/meps/en/124823/HANS-OLAF_HENKEL_home.html;Germany;http://www.europarl.europa.eu/mepphoto/124823.jpg;hans-olaf.henkel@europarl.europa.eu;ecr;;Alternative für Deutschland;124823;3222849132;0.1
fi;http://www.heidihautala.fi;33388179518;Group of the Greens/European Free Alliance;Heidi HAUTALA;heidihautala;http://www.europarl.europa.eu/meps/en/2054/HEIDI_HAUTALA_home.html;Finland;http://www.europarl.europa.eu/mepphoto/2054.jpg;heidi.hautala@europarl.europa.eu;greensefa;http://www.facebook.com/profile.php?id=100000894290672&sk=wall;Vihreä liitto;2054;3222849518;0.1
de;http://www.helga-truepel.de;33388179140;Group of the Greens/European Free Alliance;Helga TRÜPEL;HelgaTruepel;http://www.europarl.europa.eu/meps/en/28240/HELGA_TRUPEL_home.html;Germany;http://www.europarl.europa.eu/mepphoto/28240.jpg;helga.truepel@europarl.europa.eu;greensefa;http://www.facebook.com/home.php#!/pages/Helga-Tr%C3%BCpel/32661055209;Bündnis 90/Die Grünen;28240;3222849140;0.1
fi;http://www.hennavirkkunen.fi/;33388179226;Group of the European People's Party (Christian Democrats);Henna VIRKKUNEN;HennaVirkkunen;http://www.europarl.europa.eu/meps/en/124726/HENNA_VIRKKUNEN_home.html;Finland;http://www.europarl.europa.eu/mepphoto/124726.jpg;henna.virkkunen@europarl.europa.eu;epp;https://www.facebook.com/virkkunenhenna;Kansallinen Kokoomus;124726;3222849226;0.8
it;http://www.herbert-dorfmann.eu;33388179158;Group of the European People's Party (Christian Democrats);Herbert DORFMANN;HerbertDorfmann;http://www.europarl.europa.eu/meps/en/96787/HERBERT_DORFMANN_home.html;Italy;http://www.europarl.europa.eu/mepphoto/96787.jpg;herbert.dorfmann@europarl.europa.eu;epp;http://www.facebook.com/herbert.dorfmann;Südtiroler Volkspartei (Partito popolare sudtirolese);96787;3222849158;0.8
de;http://www.herbert-reul.de/;33388179244;Group of the European People's Party (Christian Democrats);Herbert REUL;hreul;http://www.europarl.europa.eu/meps/en/28225/HERBERT_REUL_home.html;Germany;http://www.europarl.europa.eu/mepphoto/28225.jpg;herbert.reul@europarl.europa.eu;epp;https://www.facebook.com/pages/Herbert-Reul/139308402755001?rf=328994327227163;Christlich Demokratische Union Deutschlands;28225;3222849244;0.8
gb;http://www.hudghtonmep.scot;33388179499;Group of the Greens/European Free Alliance;Ian HUDGHTON;hudghtonmepSNP;http://www.europarl.europa.eu/meps/en/2338/IAN_HUDGHTON_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/2338.jpg;ian.hudghton@europarl.europa.eu;greensefa;http://www.facebook.com/pages/Ian-Hudghton/112160948801194#!/group.php?gid=55983037095;Scottish National Party;2338;3222849499;0.1
gb;http://www.ianduncan.org.uk/;33388179249;European Conservatives and Reformists Group;Ian DUNCAN;IanDuncanMEP;http://www.europarl.europa.eu/meps/en/124960/IAN_DUNCAN_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124960.jpg;ian.duncan@europarl.europa.eu;ecr;;Conservative Party;124960;3222849249;0.1
es;;33388179508;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Inés AYALA SENDER;IAyalaSender;http://www.europarl.europa.eu/meps/en/28292/INES_AYALA+SENDER_home.html;Spain;http://www.europarl.europa.eu/mepphoto/28292.jpg;ines.ayalasender@europarl.europa.eu;sd;;Partido Socialista Obrero Español;28292;3222849508;0.3
bg;http://www.iliana.info;33388179708;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Iliana IOTOVA;IIotova;http://www.europarl.europa.eu/meps/en/38605/ILIANA_IOTOVA_home.html;Bulgaria;http://www.europarl.europa.eu/mepphoto/38605.jpg;iliana.iotova@europarl.europa.eu;sd;http://www.facebook.com/people/%D0%98%D0%BB%D0%B8%D1%8F%D0%BD%D0%B0-%D0%99%D0%BE%D1%82%D0%BE%D0%B2%D0%B0/1771128322;Bulgarian Socialist Party;38605;3222849708;0.3
bg;;33388179178;Group of the Alliance of Liberals and Democrats for Europe;Ilhan KYUCHYUK;ilhankyuchyuk;http://www.europarl.europa.eu/meps/en/124866/ILHAN_KYUCHYUK_home.html;Bulgaria;http://www.europarl.europa.eu/mepphoto/124866.jpg;ilhan.kyuchyuk@europarl.europa.eu;aldeadle;;Movement for Rights and Freedoms;124866;3222849178;0.3
ee;http://www.tarand.ee;33388179401;Group of the Greens/European Free Alliance;Indrek TARAND;indrektarand;http://www.europarl.europa.eu/meps/en/97136/INDREK_TARAND_home.html;Estonia;http://www.europarl.europa.eu/mepphoto/97136.jpg;indrek.tarand@europarl.europa.eu;greensefa;http://www.facebook.com/indrek.tarand.MEP;Sõltumatu;97136;3222849401;0.1
lv;http://www.inese-vaidere.lv/;33388179424;Group of the European People's Party (Christian Democrats);Inese VAIDERE;inesevaidere;http://www.europarl.europa.eu/meps/en/28617/INESE_VAIDERE_home.html;Latvia;http://www.europarl.europa.eu/mepphoto/28617.jpg;inese.vaidere@europarl.europa.eu;epp;https://www.facebook.com/pages/Inese-Vaidere/133439886696962;"Partija ""VIENOT_BA""";28617;3222849424;0.8
de;http://www.inge-graessle.eu/;33388179868;Group of the European People's Party (Christian Democrats);Ingeborg GRÄSSLE;inge_graessle;http://www.europarl.europa.eu/meps/en/28220/INGEBORG_GRASSLE_home.html;Germany;http://www.europarl.europa.eu/mepphoto/28220.jpg;ingeborg.graessle@europarl.europa.eu;epp;https://www.facebook.com/inge.graessle;Christlich Demokratische Union Deutschlands;28220;3222849868;0.8
ro;http://ioanmirceapascu.ro;33388179813;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Ioan Mircea PA_CU;ioanmirceapascu;http://www.europarl.europa.eu/meps/en/33984/IOAN+MIRCEA_PASCU_home.html;Romania;http://www.europarl.europa.eu/mepphoto/33984.jpg;ioanmircea.pascu@europarl.europa.eu;sd;http://www.facebook.com/profile.php?id=1141121946;Partidul Social Democrat;33984;3222849813;0.3
es;http://www.psoe-pe.org;33388179646;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Iratxe GARCÍA PÉREZ;IratxeGarper;http://www.europarl.europa.eu/meps/en/28298/IRATXE_GARCIA+PEREZ_home.html;Spain;http://www.europarl.europa.eu/mepphoto/28298.jpg;iratxe.garcia-perez@europarl.europa.eu;sd;http://www.facebook.com/profile.php?id=735008388;Partido Socialista Obrero Español;28298;3222849646;0.3
it;http://www.adinolfi.eu.org;33388179714;Europe of Freedom and Direct Democracy Group;Isabella ADINOLFI;Isa_Adinolfi;http://www.europarl.europa.eu/meps/en/124831/ISABELLA_ADINOLFI_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124831.jpg;isabella.adinolfi@europarl.europa.eu;efd;http://www.facebook.com/adinolfiisabella;Movimento 5 Stelle;124831;3222849714;0.1
fr;http://isabelle-thomas.fr;33388179432;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Isabelle THOMAS;Isabel_thomasEU;http://www.europarl.europa.eu/meps/en/114279/ISABELLE_THOMAS_home.html;France;http://www.europarl.europa.eu/mepphoto/114279.jpg;isabelle.thomas@europarl.europa.eu;sd;;Parti socialiste;114279;3222849432;0.3
it;;33388179358;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Isabella DE MONTE;IsabellaDeMonte;http://www.europarl.europa.eu/meps/en/124803/ISABELLA_DE+MONTE_home.html;Italy;http://www.europarl.europa.eu/mepphoto/124803.jpg;isabella.demonte@europarl.europa.eu;sd;;Partito Democratico;124803;3222849358;0.3
de;http://www.ertug.eu;33388179547;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Ismail ERTUG;IsmailErtug;http://www.europarl.europa.eu/meps/en/96842/ISMAIL_ERTUG_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96842.jpg;ismail.ertug@europarl.europa.eu;sd;http://www.facebook.com/ertug.eu;Sozialdemokratische Partei Deutschlands;96842;3222849547;0.3
si;http://www.igorsoltes.eu;33388179818;Group of the Greens/European Free Alliance;Igor _OLTES;isoltesep;http://www.europarl.europa.eu/meps/en/125003/IGOR_SOLTES_home.html;Slovenia;http://www.europarl.europa.eu/mepphoto/125003.jpg;igor.soltes@europarl.europa.eu;greensefa;;Verjamem! Lista dr. Igorja _oltesa;125003;3222849818;0.1
si;;33388179620;Group of the Alliance of Liberals and Democrats for Europe;Ivo VAJGL;ivajgl;http://www.europarl.europa.eu/meps/en/97019/IVO_VAJGL_home.html;Slovenia;http://www.europarl.europa.eu/mepphoto/97019.jpg;ivo.vajgl@europarl.europa.eu;aldeadle;http://www.facebook.com/ivo.vajgl;DeSUS - Demokrati_na Stranka Upokojencev Slovenije;97019;3222849620;0.3
hr;http://www.ids-ddi.com/;33388179639;Group of the Alliance of Liberals and Democrats for Europe;Ivan JAKOV_I_;IvanJakovcic;http://www.europarl.europa.eu/meps/en/124754/IVAN_JAKOVCIC_home.html;Croatia;http://www.europarl.europa.eu/mepphoto/124754.jpg;ivan.jakovcic@europarl.europa.eu;aldeadle;;Istarski demokratski sabor - Dieta democratica istriana;124754;3222849639;0.3
sk;http://www.ivanstefanec.sk/;33388179676;Group of the European People's Party (Christian Democrats);Ivan _TEFANEC;IvanStefanec;http://www.europarl.europa.eu/meps/en/124929/IVAN_STEFANEC_home.html;Slovakia;http://www.europarl.europa.eu/mepphoto/124929.jpg;ivan.stefanec@europarl.europa.eu;epp;https://www.facebook.com/ivanstefanec.eu;Independent;124929;3222849676;0.8
lv;;33388179276;Non-attached Members;Iveta GRIGULE;IvetaGrigule;http://www.europarl.europa.eu/meps/en/124745/IVETA_GRIGULE_home.html;Latvia;http://www.europarl.europa.eu/mepphoto/124745.jpg;iveta.grigule@europarl.europa.eu;ni;;Za_o un Zemnieku savien_b;124745;3222849276;0.1
be;http://www.ivobelet.eu;33388179623;Group of the European People's Party (Christian Democrats);Ivo BELET;ivobelet;http://www.europarl.europa.eu/meps/en/28257/IVO_BELET_home.html;Belgium;http://www.europarl.europa.eu/mepphoto/28257.jpg;ivo.belet@europarl.europa.eu;epp;https://www.facebook.com/ivo.belet;Christen-Democratisch & Vlaams;28257;3222849623;0.8
es;http://www.izaskunbilbao.eu/;33388179528;Group of the Alliance of Liberals and Democrats for Europe;Izaskun BILBAO BARANDICA;IzaskunBilbaoB;http://www.europarl.europa.eu/meps/en/96922/IZASKUN_BILBAO+BARANDICA_home.html;Spain;http://www.europarl.europa.eu/mepphoto/96922.jpg;izaskun.bilbaobarandica@europarl.europa.eu;aldeadle;http://www.facebook.com/izaskunbilbao;Partido Nacionalista Vasco;96922;3222849528;0.3
pl;http://www.januszlewandowski.pl;33388179242;Group of the European People's Party (Christian Democrats);Janusz LEWANDOWSKI;J_Lewandowski;http://www.europarl.europa.eu/meps/en/23781/JANUSZ_LEWANDOWSKI_home.html;Poland;http://www.europarl.europa.eu/mepphoto/23781.jpg;janusz.lewandowski@europarl.europa.eu;epp;https://www.facebook.com/Lewandowski.Janusz;Platforma Obywatelska;23781;3222849242;0.8
pl;http://www.jadwigawisniewska.pl/;33388179471;European Conservatives and Reformists Group;Jadwiga WI_NIEWSKA;j_wisniewska;http://www.europarl.europa.eu/meps/en/124877/JADWIGA_WISNIEWSKA_home.html;Poland;http://www.europarl.europa.eu/mepphoto/124877.jpg;jadwiga.wisniewska@europarl.europa.eu;ecr;;Prawo i Sprawiedliwo__;124877;3222849471;0.1
fi;http://www.liisajaakonsaari.fi/;33388179540;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Liisa JAAKONSAARI;Jaakonsaari;http://www.europarl.europa.eu/meps/en/96684/LIISA_JAAKONSAARI_home.html;Finland;http://www.europarl.europa.eu/mepphoto/96684.jpg;liisa.jaakonsaari@europarl.europa.eu;sd;https://www.facebook.com/pages/Liisa-Jaakonsaari-SDPn-presidenttiehdokkaaksi/209062879133908;Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;96684;3222849540;0.3
fi;http://www.annelijaatteenmaki.net;33388179614;Group of the Alliance of Liberals and Democrats for Europe;Anneli JÄÄTTEENMÄKI;jaatteenmaki;http://www.europarl.europa.eu/meps/en/28314/ANNELI_JAATTEENMAKI_home.html;Finland;http://www.europarl.europa.eu/mepphoto/28314.jpg;anneli.jaatteenmaki@europarl.europa.eu;aldeadle;http://www.facebook.com/profile.php?id=1414612119;Suomen Keskusta;28314;3222849614;0.3
gb;;33388179744;Europe of Freedom and Direct Democracy Group;James CARVER;JamesJimCarver;http://www.europarl.europa.eu/meps/en/124971/JAMES_CARVER_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124971.jpg;james.carver@europarl.europa.eu;efd;;United Kingdom Independence Party;124971;3222849744;0.1
de;http://www.janalbrecht.eu;33388179060;Group of the Greens/European Free Alliance;Jan Philipp ALBRECHT;janalbrecht;http://www.europarl.europa.eu/meps/en/96736/JAN+PHILIPP_ALBRECHT_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96736.jpg;jan.albrecht@europarl.europa.eu;greensefa;https://www.facebook.com/#!/janphilippalbrecht;Bündnis 90/Die Grünen;96736;3222849060;0.1
gb;;33388179104;Europe of Freedom and Direct Democracy Group;Jane COLLINS;Jane4ukip;http://www.europarl.europa.eu/meps/en/124955/JANE_COLLINS_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124955.jpg;jane.collins@europarl.europa.eu;efd;;United Kingdom Independence Party;124955;3222849104;0.1
gb;;33388179537;Europe of Freedom and Direct Democracy Group;Janice ATKINSON;JaniceUKIP;http://www.europarl.europa.eu/meps/en/124938/JANICE_ATKINSON_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/124938.jpg;janice.atkinson@europarl.europa.eu;efd;;United Kingdom Independence Party;124938;3222849537;0.1
pl;http://janolbrycht.pl/;33388179511;Group of the European People's Party (Christian Democrats);Jan OLBRYCHT;JanOlbrycht;http://www.europarl.europa.eu/meps/en/28288/JAN_OLBRYCHT_home.html;Poland;http://www.europarl.europa.eu/mepphoto/28288.jpg;jan.olbrycht@europarl.europa.eu;epp;https://www.facebook.com/J.Olbrycht;Platforma Obywatelska;28288;3222849511;0.8
pl;http://zemke.pl/;33388179426;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Janusz ZEMKE;JanuszZemke;http://www.europarl.europa.eu/meps/en/96784/JANUSZ_ZEMKE_home.html;Poland;http://www.europarl.europa.eu/mepphoto/96784.jpg;janusz.zemke@europarl.europa.eu;sd;https://www.facebook.com/janusz.w.zemke;Sojusz Lewicy Demokratycznej - Unia Pracy;96784;3222849426;0.3
cz;;33388179492;Group of the European People's Party (Christian Democrats);Jaromír _T_TINA;JaroDinoStetina;http://www.europarl.europa.eu/meps/en/124702/JAROMIR_STETINA_home.html;Czech Republic;http://www.europarl.europa.eu/mepphoto/124702.jpg;jaromir.stetina@europarl.europa.eu;epp;https://www.facebook.com/pages/Jarom%C3%ADr-%C5%A0t%C4%9Btina/137165332972128?fref=ts#;TOP 09 a Starostové;124702;3222849492;0.8
es;;33388179811;Group of the Alliance of Liberals and Democrats for Europe;Javier NART;JavierNart;http://www.europarl.europa.eu/meps/en/125005/JAVIER_NART_home.html;Spain;http://www.europarl.europa.eu/mepphoto/125005.jpg;javier.nart@europarl.europa.eu;aldeadle;;Ciudadanos – Partido de la Ciudadanía;125005;3222849811;0.3
hu;;33388179573;Group of the Greens/European Free Alliance;Benedek JÁVOR;javorbenedek;http://www.europarl.europa.eu/meps/en/124721/BENEDEK_JAVOR_home.html;Hungary;http://www.europarl.europa.eu/mepphoto/124721.jpg;benedek.javor@europarl.europa.eu;greensefa;;Együtt 2014 - Párbeszéd Magyarországért;124721;3222849573;0.1
fr;;33388179774;Group of the Alliance of Liberals and Democrats for Europe;Jean ARTHUIS;JeanArthuis;http://www.europarl.europa.eu/meps/en/124773/JEAN_ARTHUIS_home.html;France;http://www.europarl.europa.eu/mepphoto/124773.jpg;jean.arthuis@europarl.europa.eu;aldeadle;;Union des Démocrates et Indépendants;124773;3222849774;0.3
fr;http://www.jeanmariecavada.eu;33388179367;Group of the Alliance of Liberals and Democrats for Europe;Jean-Marie CAVADA;JeanMarieCAVADA;http://www.europarl.europa.eu/meps/en/28206/JEAN-MARIE_CAVADA_home.html;France;http://www.europarl.europa.eu/mepphoto/28206.jpg;jean-marie.cavada@europarl.europa.eu;aldeadle;http://www.facebook.com/?ref=home#!/pages/Jean-Marie-Cavada/180453773116;Nous Citoyens;28206;3222849367;0.3
dk;http://www.socialdemokraterne.dk/default.aspx?site=jeppekofod;33388179463;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Jeppe KOFOD;JeppeKofod;http://www.europarl.europa.eu/meps/en/124870/JEPPE_KOFOD_home.html;Denmark;http://www.europarl.europa.eu/mepphoto/124870.jpg;jeppe.kofod@europarl.europa.eu;sd;;Socialdemokratiet;124870;3222849463;0.3
nl;http://www.jeroenlenaers.nl/;33388179560;Group of the European People's Party (Christian Democrats);Jeroen LENAERS;jeroen_lenaers;http://www.europarl.europa.eu/meps/en/95074/JEROEN_LENAERS_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/95074.jpg;jeroen.lenaers@europarl.europa.eu;epp;https://www.facebook.com/jlenaersCDA;Christen Democratisch Appèl;95074;3222849560;0.8
pl;http://www.buzek.pl/;33388179631;Group of the European People's Party (Christian Democrats);Jerzy BUZEK;JerzyBuzek;http://www.europarl.europa.eu/meps/en/28269/JERZY_BUZEK_home.html;Poland;http://www.europarl.europa.eu/mepphoto/28269.jpg;jerzy.buzek@europarl.europa.eu;epp;https://www.facebook.com/JerzyBuzek;Platforma Obywatelska;28269;3222849631;0.8
cz;http://www.petrjezek.eu/;33388179415;Group of the Alliance of Liberals and Democrats for Europe;Petr JE_EK;JezekCZ;http://www.europarl.europa.eu/meps/en/124707/PETR_JEZEK_home.html;Czech Republic;http://www.europarl.europa.eu/mepphoto/124707.jpg;petr.jezek@europarl.europa.eu;aldeadle;;ANO 2011;124707;3222849415;0.3
es;;33388179336;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Juan Fernando LÓPEZ AGUILAR;JFLopezAguilar;http://www.europarl.europa.eu/meps/en/96812/JUAN+FERNANDO_LOPEZ+AGUILAR_home.html;Spain;http://www.europarl.europa.eu/mepphoto/96812.jpg;juanfernando.lopezaguilar@europarl.europa.eu;sd;;Partido Socialista Obrero Español;96812;3222849336;0.3
gb;http://www.jacquelinefostermep.com/;33388179674;European Conservatives and Reformists Group;Jacqueline FOSTER;jfostermep;http://www.europarl.europa.eu/meps/en/4553/JACQUELINE_FOSTER_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/4553.jpg;jacqueline.foster@europarl.europa.eu;ecr;http://www.facebook.com/pages/Jacqueline-Foster-MEP/368940170596?sk=wall;Conservative Party;4553;3222849674;0.1
nl;http://www.janhuitema.nl;33388179131;Group of the Alliance of Liberals and Democrats for Europe;Jan HUITEMA;jhuitema;http://www.europarl.europa.eu/meps/en/58789/JAN_HUITEMA_home.html;Netherlands;http://www.europarl.europa.eu/mepphoto/58789.jpg;jan.huitema@europarl.europa.eu;aldeadle;;Volkspartij voor Vrijheid en Democratie;58789;3222849131;0.3
gb;http://www.jillevans.net;33388179103;Group of the Greens/European Free Alliance;Jill EVANS;jillevansmep;http://www.europarl.europa.eu/meps/en/4550/JILL_EVANS_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/4550.jpg;Jill.evans@europarl.europa.eu;greensefa;;Plaid Cymru - Party of Wales;4550;3222849103;0.1
gb;;33388179933;European Conservatives and Reformists Group;James NICHOLSON;JimNicholsonMEP;http://www.europarl.europa.eu/meps/en/1318/JAMES_NICHOLSON_home.html;United Kingdom;http://www.europarl.europa.eu/mepphoto/1318.jpg;james.nicholson@europarl.europa.eu;ecr;http://www.facebook.com/jimnicholsonmep;Ulster Unionist Party;1318;3222849933;0.1
fr;http://www.jerome-lavrilleux.eu/;33388179455;Group of the European People's Party (Christian Democrats);Jérôme LAVRILLEUX;jlavrilleux;http://www.europarl.europa.eu/meps/en/124731/JEROME_LAVRILLEUX_home.html;France;http://www.europarl.europa.eu/mepphoto/124731.jpg;jerome.lavrilleux@europarl.europa.eu;epp;https://www.facebook.com/pages/J%C3%A9r%C3%B4me-Lavrilleux/509892629110388;-;124731;3222849455;0.8
fr;http://www.jean-luc-melenchon.fr;33388179659;Confederal Group of the European United Left - Nordic Green Left;Jean-Luc MÉLENCHON;JLMelenchon;http://www.europarl.europa.eu/meps/en/96742/JEAN-LUC_MELENCHON_home.html;France;http://www.europarl.europa.eu/mepphoto/96742.jpg;jean-luc.melenchon@europarl.europa.eu;guengl;https://www.facebook.com/#!/JLMelenchon;Front de Gauche;96742;3222849659;0.2
fr;;33388179726;Non-attached Members;Jean-Luc SCHAFFHAUSER;JLSchaffhauser;http://www.europarl.europa.eu/meps/en/124755/JEAN-LUC_SCHAFFHAUSER_home.html;France;http://www.europarl.europa.eu/mepphoto/124755.jpg;jean-luc.schaffhauser@europarl.europa.eu;ni;;Rassemblement bleu Marine;124755;3222849726;0.1
pt;http://www.josemanuelfernandes.eu;33388179165;Group of the European People's Party (Christian Democrats);José Manuel FERNANDES;JMFernandesEU;http://www.europarl.europa.eu/meps/en/96899/JOSE+MANUEL_FERNANDES_home.html;Portugal;http://www.europarl.europa.eu/mepphoto/96899.jpg;josemanuel.fernandes@europarl.europa.eu;epp;https://www.facebook.com/jmfernandes.eu;Partido Social Democrata;96899;3222849165;0.8
es;;33388179748;Group of the Greens/European Free Alliance;Josep-Maria TERRICABRAS;jmterricabras;http://www.europarl.europa.eu/meps/en/124932/JOSEP-MARIA_TERRICABRAS_home.html;Spain;http://www.europarl.europa.eu/mepphoto/124932.jpg;josep-maria.terricabras@europarl.europa.eu;greensefa;;Esquerra Republicana de Catalunya;124932;3222849748;0.1
de;http://www.joachimzeller.de/;33388179910;Group of the European People's Party (Christian Democrats);Joachim ZELLER;joachimzeller;http://www.europarl.europa.eu/meps/en/96762/JOACHIM_ZELLER_home.html;Germany;http://www.europarl.europa.eu/mepphoto/96762.jpg;joachim.zeller@europarl.europa.eu;epp;https://www.facebook.com/pages/Joachim-Zeller/486691334677220?fref=ts;Christlich Demokratische Union Deutschlands;96762;3222849910;0.8
fr;;33388179310;Non-attached Members;Joëlle MÉLIN;JoelleMelinFN;http://www.europarl.europa.eu/meps/en/124765/JOELLE_MELIN_home.html;France;http://www.europarl.europa.eu/mepphoto/124765.jpg;joelle.melin@europarl.europa.eu;ni;;Front national;124765;3222849310;0.1
at;http://www.joerg-leichtfried.at;33388179436;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Jörg LEICHTFRIED;Joerg_Le;http://www.europarl.europa.eu/meps/en/28251/JORG_LEICHTFRIED_home.html;Austria;http://www.europarl.europa.eu/mepphoto/28251.jpg;joerg.leichtfried@europarl.europa.eu;sd;https://www.facebook.com/joerg.leichtfried;Sozialdemokratische Partei Österreichs;28251;3222849436;0.3
de;http://www.joleinen.de;33388179842;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Jo LEINEN;JoLeinen;http://www.europarl.europa.eu/meps/en/4262/JO_LEINEN_home.html;Germany;http://www.europarl.europa.eu/mepphoto/4262.jpg;jo.leinen@europarl.europa.eu;sd;https://www.facebook.com/JoLeinen;Sozialdemokratische Partei Deutschlands;4262;3222849842;0.3
